user_id,day_of_week,start_time,end_time
9107aa7c-a733-4514-8033-89e601a450ab,THURSDAY,14:00:00,15:00:00
9107aa7c-a733-4514-8033-89e601a450ab,THURSDAY,06:00:00,07:00:00
9107aa7c-a733-4514-8033-89e601a450ab,FRIDAY,09:00:00,13:00:00
aaf3ee53-a4fa-4823-9e32-97ae16ded883,MONDAY,05:00:00,06:00:00
aaf3ee53-a4fa-4823-9e32-97ae16ded883,MONDAY,17:00:00,18:00:00
aaf3ee53-a4fa-4823-9e32-97ae16ded883,SATURDAY,15:00:00,17:00:00
aaf3ee53-a4fa-4823-9e32-97ae16ded883,FRIDAY,04:00:00,05:00:00
9392497e-7214-46ee-bce6-e44ce188dd78,THURSDAY,08:00:00,09:00:00
9392497e-7214-46ee-bce6-e44ce188dd78,THURSDAY,14:00:00,17:00:00
3e8f1c95-9ed6-4b44-b9e9-c2f22ce7f81e,MONDAY,19:00:00,20:00:00
3e8f1c95-9ed6-4b44-b9e9-c2f22ce7f81e,TUESDAY,03:00:00,05:00:00
d65f2852-c66f-450d-8d65-e1c2e1d88925,SUNDAY,12:00:00,15:00:00
f669b455-1b5e-44d2-98f4-7457a68dea85,TUESDAY,07:00:00,09:00:00
f669b455-1b5e-44d2-98f4-7457a68dea85,WEDNESDAY,01:00:00,04:00:00
f669b455-1b5e-44d2-98f4-7457a68dea85,FRIDAY,08:00:00,11:00:00
f669b455-1b5e-44d2-98f4-7457a68dea85,MONDAY,04:00:00,07:00:00
aaf662f5-6f6b-4152-85c7-cdb90ec5b0ab,FRIDAY,16:00:00,19:00:00
aaf662f5-6f6b-4152-85c7-cdb90ec5b0ab,THURSDAY,13:00:00,16:00:00
aaf662f5-6f6b-4152-85c7-cdb90ec5b0ab,TUESDAY,20:00:00,21:00:00
aaf662f5-6f6b-4152-85c7-cdb90ec5b0ab,THURSDAY,10:00:00,14:00:00
fe3dbabc-fa35-4aab-9321-574ad9365361,TUESDAY,14:00:00,15:00:00
fe3dbabc-fa35-4aab-9321-574ad9365361,WEDNESDAY,01:00:00,04:00:00
8bf3f3e2-6b5c-43b4-a506-04dd47fc8bfc,FRIDAY,10:00:00,11:00:00
8bf3f3e2-6b5c-43b4-a506-04dd47fc8bfc,SUNDAY,19:00:00,23:00:00
8bf3f3e2-6b5c-43b4-a506-04dd47fc8bfc,WEDNESDAY,07:00:00,08:00:00
8bf3f3e2-6b5c-43b4-a506-04dd47fc8bfc,SATURDAY,17:00:00,20:00:00
63b153fb-2a9d-4d0f-977c-a729ba715844,FRIDAY,00:00:00,04:00:00
63b153fb-2a9d-4d0f-977c-a729ba715844,THURSDAY,19:00:00,20:00:00
2d4dc907-6f98-4789-9ab1-1ed1ad48efdc,FRIDAY,06:00:00,08:00:00
2d4dc907-6f98-4789-9ab1-1ed1ad48efdc,WEDNESDAY,08:00:00,10:00:00
2d4dc907-6f98-4789-9ab1-1ed1ad48efdc,FRIDAY,01:00:00,02:00:00
01696e0a-4e25-4eed-9961-00cf0524abbe,SATURDAY,07:00:00,11:00:00
01696e0a-4e25-4eed-9961-00cf0524abbe,MONDAY,02:00:00,03:00:00
01696e0a-4e25-4eed-9961-00cf0524abbe,TUESDAY,14:00:00,18:00:00
01696e0a-4e25-4eed-9961-00cf0524abbe,TUESDAY,02:00:00,03:00:00
2b7a5777-cb10-4ea7-ad0b-b678b9cced1e,WEDNESDAY,14:00:00,16:00:00
2b7a5777-cb10-4ea7-ad0b-b678b9cced1e,THURSDAY,02:00:00,04:00:00
151077fe-faa8-418b-8788-a04e591c074d,FRIDAY,07:00:00,11:00:00
4e79d363-e388-4282-ad62-637c0a68b163,WEDNESDAY,11:00:00,13:00:00
4e79d363-e388-4282-ad62-637c0a68b163,FRIDAY,11:00:00,13:00:00
6db71a52-e5c5-4a52-9e11-d157ae2c75f3,WEDNESDAY,06:00:00,07:00:00
6db71a52-e5c5-4a52-9e11-d157ae2c75f3,SATURDAY,00:00:00,04:00:00
b8213202-5018-4b16-89e1-0464f076ae96,THURSDAY,03:00:00,07:00:00
b8213202-5018-4b16-89e1-0464f076ae96,TUESDAY,10:00:00,13:00:00
bf035f72-ffe7-44f4-bf4a-9d0a5a09a3a7,MONDAY,03:00:00,06:00:00
bf035f72-ffe7-44f4-bf4a-9d0a5a09a3a7,THURSDAY,17:00:00,21:00:00
bf035f72-ffe7-44f4-bf4a-9d0a5a09a3a7,TUESDAY,17:00:00,19:00:00
bf035f72-ffe7-44f4-bf4a-9d0a5a09a3a7,THURSDAY,12:00:00,13:00:00
38a8de24-1afb-450c-9e67-69396d1bcf4a,FRIDAY,17:00:00,19:00:00
ae20381d-6c4d-4c61-a04b-8053317f1d9f,TUESDAY,07:00:00,10:00:00
ae20381d-6c4d-4c61-a04b-8053317f1d9f,SATURDAY,18:00:00,19:00:00
ae20381d-6c4d-4c61-a04b-8053317f1d9f,THURSDAY,15:00:00,16:00:00
62f74ce4-99da-4a65-bfbb-cb145fc47f94,FRIDAY,05:00:00,06:00:00
4acc8370-e2b5-45a0-b7b6-eff6cd87040d,MONDAY,08:00:00,10:00:00
4acc8370-e2b5-45a0-b7b6-eff6cd87040d,TUESDAY,05:00:00,06:00:00
14100019-5e8b-42bd-b0fc-91d23c7c5881,FRIDAY,10:00:00,13:00:00
14100019-5e8b-42bd-b0fc-91d23c7c5881,SUNDAY,19:00:00,23:00:00
14100019-5e8b-42bd-b0fc-91d23c7c5881,THURSDAY,08:00:00,12:00:00
14100019-5e8b-42bd-b0fc-91d23c7c5881,FRIDAY,03:00:00,06:00:00
61a01ecc-5a0f-47ff-8f16-ade7d8d55d9c,SUNDAY,03:00:00,04:00:00
61a01ecc-5a0f-47ff-8f16-ade7d8d55d9c,THURSDAY,06:00:00,08:00:00
3fec17c6-ccd4-42c9-afa1-85d33acbc33b,SATURDAY,11:00:00,14:00:00
3fec17c6-ccd4-42c9-afa1-85d33acbc33b,THURSDAY,19:00:00,23:00:00
3fec17c6-ccd4-42c9-afa1-85d33acbc33b,SATURDAY,04:00:00,07:00:00
7f88294f-c333-49f4-a482-4e6f15a21412,THURSDAY,00:00:00,02:00:00
7f88294f-c333-49f4-a482-4e6f15a21412,FRIDAY,06:00:00,10:00:00
bf7b777b-eafa-4352-bdca-12273d8f71ae,WEDNESDAY,00:00:00,01:00:00
bf7b777b-eafa-4352-bdca-12273d8f71ae,TUESDAY,04:00:00,05:00:00
275ccc00-59d3-4b62-a3db-adca85d91812,THURSDAY,08:00:00,12:00:00
275ccc00-59d3-4b62-a3db-adca85d91812,SATURDAY,21:00:00,22:00:00
7c0107ee-2901-4bea-bb6e-5db0da05f3e8,MONDAY,18:00:00,19:00:00
7c0107ee-2901-4bea-bb6e-5db0da05f3e8,SUNDAY,01:00:00,05:00:00
cc47a2ce-7779-4525-9cb2-13be0888fc0c,TUESDAY,05:00:00,09:00:00
cc47a2ce-7779-4525-9cb2-13be0888fc0c,THURSDAY,18:00:00,19:00:00
cc47a2ce-7779-4525-9cb2-13be0888fc0c,WEDNESDAY,12:00:00,16:00:00
cc47a2ce-7779-4525-9cb2-13be0888fc0c,SATURDAY,11:00:00,12:00:00
4670942c-1ad5-4fa5-a711-02fdd46bfe30,FRIDAY,04:00:00,08:00:00
ae3052d8-8177-4c2f-ac61-751dccaffedb,THURSDAY,20:00:00,22:00:00
ae3052d8-8177-4c2f-ac61-751dccaffedb,FRIDAY,12:00:00,14:00:00
ae3052d8-8177-4c2f-ac61-751dccaffedb,THURSDAY,09:00:00,10:00:00
ae3052d8-8177-4c2f-ac61-751dccaffedb,MONDAY,16:00:00,19:00:00
c1dc8b6f-c1f9-4103-b580-9dc71403d4a5,WEDNESDAY,01:00:00,04:00:00
1431a3ca-df7f-4385-9f04-94e5b05ea76b,MONDAY,09:00:00,11:00:00
1431a3ca-df7f-4385-9f04-94e5b05ea76b,TUESDAY,08:00:00,10:00:00
da350db4-6b59-4107-9bf2-2dd94a079fe9,THURSDAY,21:00:00,22:00:00
da350db4-6b59-4107-9bf2-2dd94a079fe9,WEDNESDAY,04:00:00,06:00:00
d1311372-cecd-4c35-b25d-e869457dfdf2,MONDAY,18:00:00,21:00:00
d1311372-cecd-4c35-b25d-e869457dfdf2,FRIDAY,02:00:00,05:00:00
eb36f315-12c4-4dc0-8922-58bbab286bc3,MONDAY,03:00:00,04:00:00
eb36f315-12c4-4dc0-8922-58bbab286bc3,FRIDAY,13:00:00,17:00:00
eb36f315-12c4-4dc0-8922-58bbab286bc3,WEDNESDAY,05:00:00,07:00:00
eb36f315-12c4-4dc0-8922-58bbab286bc3,WEDNESDAY,16:00:00,20:00:00
46d3701c-380a-4352-a23d-3d089bf398ed,MONDAY,11:00:00,14:00:00
46d3701c-380a-4352-a23d-3d089bf398ed,WEDNESDAY,20:00:00,21:00:00
95f354a1-e8d2-4b61-95c8-c77c65b95679,SATURDAY,04:00:00,08:00:00
95f354a1-e8d2-4b61-95c8-c77c65b95679,SATURDAY,19:00:00,21:00:00
95f354a1-e8d2-4b61-95c8-c77c65b95679,MONDAY,00:00:00,02:00:00
7f0a34ad-fa32-469f-9284-93d8682a46a9,MONDAY,09:00:00,12:00:00
7f0a34ad-fa32-469f-9284-93d8682a46a9,WEDNESDAY,13:00:00,15:00:00
9724bd0d-76fc-4790-9de6-b97681196be8,WEDNESDAY,12:00:00,16:00:00
9724bd0d-76fc-4790-9de6-b97681196be8,FRIDAY,05:00:00,08:00:00
2ae0b240-b50c-4ed6-bcef-4288cc704e42,WEDNESDAY,01:00:00,05:00:00
a05d5149-4a01-4d9e-9922-d72aacbfb424,SUNDAY,00:00:00,03:00:00
c5a7a6ea-de85-4e2c-a30c-e5de865493af,SUNDAY,00:00:00,04:00:00
c5a7a6ea-de85-4e2c-a30c-e5de865493af,SUNDAY,10:00:00,11:00:00
c5a7a6ea-de85-4e2c-a30c-e5de865493af,THURSDAY,13:00:00,17:00:00
c5a7a6ea-de85-4e2c-a30c-e5de865493af,THURSDAY,07:00:00,09:00:00
ea636133-660d-4f61-a63a-d578d06b771f,THURSDAY,16:00:00,20:00:00
ea636133-660d-4f61-a63a-d578d06b771f,FRIDAY,16:00:00,18:00:00
ea636133-660d-4f61-a63a-d578d06b771f,MONDAY,10:00:00,14:00:00
ea636133-660d-4f61-a63a-d578d06b771f,SATURDAY,19:00:00,23:00:00
f4aad536-8143-4d50-b2f4-a8aa6a00cee5,SUNDAY,15:00:00,17:00:00
f4aad536-8143-4d50-b2f4-a8aa6a00cee5,SUNDAY,06:00:00,10:00:00
f4aad536-8143-4d50-b2f4-a8aa6a00cee5,THURSDAY,02:00:00,04:00:00
4ff320ea-c6f8-4a2c-8d0e-1ad6841ce8cd,MONDAY,20:00:00,21:00:00
4ff320ea-c6f8-4a2c-8d0e-1ad6841ce8cd,TUESDAY,06:00:00,07:00:00
b140638e-552a-445d-8bda-a298e401bc52,THURSDAY,18:00:00,19:00:00
